fecha,moneda,valor
2025-06-10,USD,1.143707
2025-06-10,COP,4806.999408
2025-06-09,USD,1.142739
2025-06-09,COP,4730.438714
2025-06-08,USD,1.140706
2025-06-08,COP,4699.263998
2025-06-07,USD,1.140445
2025-06-07,COP,4698.19289
2025-06-06,USD,1.140445
2025-06-06,COP,4702.694912
2025-06-05,COP,4703.014868
2025-06-05,USD,1.145331
2025-06-04,COP,4692.78228
2025-06-04,USD,1.142166
2025-06-03,COP,4696.86994
2025-06-03,USD,1.138395
2025-06-02,COP,4732.046631
2025-06-02,USD,1.145214
2025-06-01,USD,1.135138
2025-06-01,COP,4668.79582
2025-05-31,COP,4714.920368
2025-05-31,USD,1.134758
2025-05-30,USD,1.134758
2025-05-30,COP,4714.920368
2025-05-29,COP,4699.573563
2025-05-29,USD,1.137774
2025-05-28,USD,1.123312
2025-05-28,COP,4633.918391
2025-05-27,USD,1.133646
2025-05-27,COP,4662.684542
2025-05-26,USD,1.138783
2025-05-26,COP,4728.227776
2025-05-25,COP,4729.183278
2025-05-25,USD,1.137217
2025-05-24,COP,4741.443703
2025-05-24,USD,1.137004
2025-05-23,USD,1.137004
2025-05-23,COP,4741.443703
2025-05-22,COP,4711.509716
2025-05-22,USD,1.128127
2025-05-21,COP,4727.980375
2025-05-21,USD,1.133061
2025-05-20,USD,1.128764
2025-05-20,COP,4711.121145
2025-05-19,USD,1.123267
2025-05-19,COP,4684.024931
2025-05-18,USD,1.118689
2025-05-18,COP,4714.559692
2025-05-17,COP,4704.554582
2025-05-17,USD,1.116315
2025-05-16,COP,4704.554582
2025-05-16,USD,1.116315
2025-05-15,COP,4702.45211
2025-05-15,USD,1.119232
2025-05-14,USD,1.118162
2025-05-14,COP,4703.826909
2025-05-13,COP,4710.919431
2025-05-13,USD,1.118518
2025-05-12,USD,1.109502
2025-05-12,COP,4687.36998
2025-05-11,USD,1.122926
2025-05-11,COP,4770.977372
